id,name,attribute,level,type,atk,def
43096270,Alexandrite Dragon,LIGHT,4,Dragon,2000,100
45154513,Alghoul Mazera,EARTH,8,Zombie,2800,2300
14504454,"Alice, Lady of Lament",DARK,3,Fiend,0,2000
47728740,"Alich, Malebranche of the Burning Abyss",DARK,3,Fiend,1200,0
652362,Alien Ammonite,LIGHT,1,Reptile,500,200
15475415,Alien Dog,LIGHT,3,Reptile,1500,1000
62437709,Alien Grey,LIGHT,2,Reptile,300,800
62315111,Alien Hunter,WATER,4,Reptile,1600,800
38468214,Alien Hypno,WATER,4,Reptile,1600,700
76573247,Alien Infiltrator,EARTH,2,Reptile,800,500
64160836,Alien Kid,LIGHT,4,Reptile,1600,700
99532708,Alien Mars,FIRE,3,Reptile,1000,1000
24104865,Alien Mother,DARK,6,Reptile,2300,1500
63253763,Alien Overlord,DARK,6,Reptile,2200,1600
58012107,Alien Psychic,DARK,1,Reptile,200,100
97127906,Alien Shocktrooper,EARTH,4,Reptile,1900,800
25920413,Alien Skull,WIND,4,Reptile,1600,1800
58066722,Alien Stealthbuster,LIGHT,4,Reptile,1700,1500
91070115,Alien Telepath,FIRE,4,Reptile,1600,1000
98719226,Alien Warrior,EARTH,4,Reptile,1800,1000
70924884,Alinsection,EARTH,3,Insect,950,700
70335319,All-Eyes Phantom Dragon,LIGHT,10,Dragon,3000,2500
64428736,Alligator's Sword,EARTH,4,Beast,1500,1200
87257460,Allure Queen LV3,DARK,3,Spellcaster,500,500
23756165,Allure Queen LV5,DARK,5,Spellcaster,1000,1000
50140163,Allure Queen LV7,DARK,7,Spellcaster,1500,1500
40155554,Ally Mind,DARK,5,Machine,1800,1400
89386122,Ally of Justice Clausolas,DARK,6,Machine,2300,1200
36629203,Ally of Justice Core Destroyer,DARK,3,Machine,1200,200
8822710,Ally of Justice Cosmic Gateway,DARK,8,Machine,2400,1200
8233522,Ally of Justice Cycle Reader,DARK,3,Machine,1000,1000
45586855,Ally of Justice Cyclone Creator,DARK,3,Machine,1400,1200
45033006,Ally of Justice Enemy Catcher,DARK,6,Machine,1800,1800
25771826,Ally of Justice Garadholg,DARK,4,Machine,1600,400
76650663,Ally of Justice Nullfier,DARK,4,Machine,1600,1200
45450218,Ally of Justice Omni-Weapon,DARK,5,Machine,2200,800
72845813,Ally of Justice Quarantine,DARK,4,Machine,1700,1200
55982698,Ally of Justice Reverse Break,DARK,4,Machine,1200,1200
52265835,Ally of Justice Rudra,DARK,5,Machine,1900,1200
3648368,Ally of Justice Searcher,DARK,3,Machine,1400,100
85876417,Ally of Justice Thousand Arms,DARK,4,Machine,1700,0
71438011,Ally of Justice Thunder Armor,DARK,8,Machine,2700,2200
22371016,Ally of Justice Unknown Crusher,DARK,3,Machine,1200,800
82377606,Ally of Justice Unlimiter,DARK,2,Machine,600,200
59482302,Ally Salvo,DARK,2,Machine,400,300
92998610,Aloof Lupine,DARK,4,Beast,1700,300
77797992,"Alpacaribou, Mystical Beast of the Forest",EARTH,7,Beast,2700,2100
42023223,Alpha The Electromagnet Warrior,EARTH,3,Rock,1700,1100
99785935,Alpha The Magnet Warrior,EARTH,4,Rock,1400,1700
73304257,"Alpha, the Master of Beasts",EARTH,8,Beast,3000,2500
12977245,Altergeist Fifinellag,DARK,2,Spellcaster,0,1000
85673903,Altergeist Fijialert,WATER,4,Spellcaster,1400,1200
52927340,Altergeist Kunquery,EARTH,5,Spellcaster,0,2400
27132400,Altergeist Malwisp,LIGHT,3,Spellcaster,1500,0
53143898,Altergeist Marionetter,LIGHT,4,Spellcaster,1600,1700
25533642,Altergeist Meluseek,WATER,1,Spellcaster,500,300
42790071,Altergeist Multifaker,DARK,3,Spellcaster,1200,800
54126514,Altergeist Peritrator,FIRE,1,Spellcaster,500,300
57769391,Altergeist Pixiel,WIND,1,Spellcaster,100,100
59185998,Altergeist Pookuery,DARK,1,Spellcaster,300,100
89538537,Altergeist Silquitous,WIND,2,Spellcaster,800,1500
27632240,Altitude Knight,WIND,4,Warrior,1400,1200
62962630,Aluber the Jester of Despia,DARK,4,Fairy,1800,0
27024795,Alviss of the Nordic Alfar,DARK,4,Spellcaster,1500,1000
2139640,Amabie,WATER,3,Fairy,0,0
32181268,Amano-Iwato,EARTH,4,Rock,1900,1200
43739056,Amanokujaki,LIGHT,3,Fiend,1000,1000
18988391,Amarylease,EARTH,1,Plant,100,200
20073910,Amaterasu,LIGHT,9,Fairy,3000,3000
31600845,Amazement Abomination Arlekino,LIGHT,7,Psychic,2600,2200
94821366,Amazement Administrator Arlekino,DARK,7,Psychic,2600,2200
30829071,Amazement Ambassador Bufo,EARTH,3,Beast,1600,900
22662014,Amazement Assistant Delia,LIGHT,4,Machine,1800,1400
67314110,Amazement Attendant Comica,LIGHT,4,Machine,1400,1800
17968114,Amazon of the Seas,WATER,4,Fish,1300,1400
91869203,Amazoness Archer,EARTH,4,Warrior,1400,1000
10928224,Amazoness Baby Tiger,EARTH,2,Beast,500,500
73574678,Amazoness Blowpiper,EARTH,3,Warrior,800,1500
29654737,Amazoness Chain Master,EARTH,4,Warrior,1500,1300
55821894,Amazoness Fighter,EARTH,4,Warrior,1500,1300
97692972,Amazoness Golden Whip Master,EARTH,5,Warrior,2000,1200
47480070,Amazoness Paladin,EARTH,4,Warrior,1700,300
84539520,Amazoness Princess,EARTH,3,Warrior,1200,900
15951532,Amazoness Queen,EARTH,6,Warrior,2400,1800
53162898,Amazoness Sage,EARTH,4,Warrior,1400,700
71209500,Amazoness Scouts,EARTH,2,Warrior,500,1100
24087580,Amazoness Silver Sword Master,EARTH,3,Warrior,1200,2000
97870394,Amazoness Spiritualist,EARTH,2,Warrior,800,1800
31102447,Amazoness Spy,EARTH,3,Warrior,800,1200
94004268,Amazoness Swords Woman,EARTH,4,Warrior,1500,1600
10979723,Amazoness Tiger,EARTH,4,Beast,1100,1500
89567993,Amazoness Trainee,EARTH,4,Warrior,1500,1300
50486289,Amazoness War Chief,EARTH,5,Warrior,1900,0
41224658,Ambitious Gofer,DARK,6,Fiend,2400,100
36378213,Ambulanceroid,EARTH,3,Machine,300,1200
13332685,Ame no Habakiri no Mitsurugi,DARK,8,Reptile,2400,1800
19899073,Ame no Murakumo no Mitsurugi,DARK,8,Reptile,3200,800
95174353,Ameba,WATER,1,Aqua,300,350
40213117,Amores of Prophecy,EARTH,3,Spellcaster,600,2000
98287529,"Amorphactor Pain, the Imagination Dracoverlord",EARTH,8,Dragon,2950,2500
33300669,Amorphage Envy,EARTH,4,Dragon,0,2050
34522216,Amorphage Gluttony,EARTH,2,Dragon,0,1850
69072185,Amorphage Goliath,EARTH,8,Dragon,2750,0
7305060,Amorphage Greed,EARTH,4,Dragon,0,1950
70917315,Amorphage Lechery,EARTH,2,Dragon,1350,0
6283472,Amorphage Pride,EARTH,4,Dragon,1750,0
32687071,Amorphage Sloth,EARTH,6,Dragon,2250,0
79794767,Amorphage Wrath,EARTH,4,Dragon,1650,0
67371383,Amphibian Beast,WATER,6,Fish,2400,2000
4754691,Amphibious Bugroth MK-11,WATER,5,Machine,1850,1500
64342551,Amphibious Bugroth MK-3,WATER,4,Machine,1500,1300
61160289,"Amunessia, the Ogdoadic Queen",DARK,8,Reptile,2700,2100
23927567,An Owl of Luck,WIND,2,Winged Beast,300,500
80570228,Anarchist Monk of the Six Samurai,DARK,3,Warrior,500,0
58324930,Anarchist Monk Ranshin,EARTH,4,Spellcaster,1800,100
52296675,Anchamoufrite,LIGHT,5,Spellcaster,1800,0
54656950,Anchorbolt Hedgehog,EARTH,2,Machine,800,800
42431843,Ancient Brain,DARK,3,Fiend,1000,700
50781944,Ancient Crimson Ape,LIGHT,7,Beast,2600,1800
38520918,Ancient Dragon,LIGHT,4,Dragon,1400,1300
93221206,Ancient Elf,LIGHT,4,Spellcaster,1450,1200
31557782,Ancient Gear,EARTH,2,Machine,100,800
10509340,Ancient Gear Beast,EARTH,6,Machine,2000,2000
60953949,Ancient Gear Box,EARTH,4,Machine,500,2000
80045583,Ancient Gear Cannon,EARTH,2,Machine,500,500
27483935,Ancient Gear Commander,EARTH,4,Machine,500,2000
64603182,Ancient Gear Dark Golem,EARTH,8,Machine,3000,3000
75892194,Ancient Gear Dragon,EARTH,5,Machine,500,2500
1953925,Ancient Gear Engineer,EARTH,5,Machine,1500,1500
1278431,Ancient Gear Frame,EARTH,4,Machine,1600,500
18486927,Ancient Gear Gadget,EARTH,4,Machine,500,2000
86321248,Ancient Gear Gadjiltron Chimera,EARTH,6,Machine,2300,1300
50933533,Ancient Gear Gadjiltron Dragon,EARTH,8,Machine,3000,2000
83104731,Ancient Gear Golem,EARTH,8,Machine,3000,3000
95735217,Ancient Gear Golem - Ultimate Pound,EARTH,8,Machine,3000,3000
42878636,Ancient Gear Hunting Hound,EARTH,3,Machine,1000,1000
81269231,Ancient Gear Hydra,EARTH,7,Machine,2700,1700
39303359,Ancient Gear Knight,EARTH,4,Machine,1800,500
44874522,Ancient Gear Reactor Dragon,EARTH,9,Machine,3000,3000
56094445,Ancient Gear Soldier,EARTH,4,Machine,1300,1300
32762201,Ancient Gear Statue,EARTH,2,Machine,500,800
91098230,Ancient Gear Tanker,EARTH,4,Machine,1300,1300
17663375,Ancient Gear Wyvern,EARTH,4,Machine,1700,1200
81492226,Ancient Jar,EARTH,1,Rock,400,200
54912977,Ancient Lamp,WIND,3,Spellcaster,900,1400
43230671,Ancient Lizard Warrior,EARTH,4,Reptile,1400,1100
14015067,Ancient One of the Deep Forest,EARTH,6,Beast,1800,1900
36821538,Ancient Sorcerer,DARK,4,Spellcaster,1000,1300
49587396,Ancient Tool,DARK,5,Machine,1700,1400
86421986,Ancient Tree of Enlightenment,EARTH,3,Plant,600,1500
33545259,Ancient Warriors - Ambitious Cao De,FIRE,8,Beast-Warrior,3000,2500
6438003,Ancient Warriors - Deceptive Jia Wen,FIRE,4,Beast-Warrior,1100,1800
13923256,Ancient Warriors - Eccentric Lu Jing,WATER,4,Beast-Warrior,700,2000
60033398,Ancient Warriors - Fearsome Zhang Yuan,FIRE,6,Beast-Warrior,2300,2000
77539547,Ancient Warriors - Graceful Zhou Gong,WATER,4,Beast-Warrior,1600,1600
32422602,Ancient Warriors - Ingenious Zhuge Kong,WIND,4,Beast-Warrior,1000,2000
76416959,Ancient Warriors - Loyal Guan Yun,WIND,7,Beast-Warrior,2500,1800
40140448,Ancient Warriors - Masterful Sun Mou,WATER,4,Beast-Warrior,1800,1500
82791472,Ancient Warriors - Rebellious Lu Feng,DARK,8,Beast-Warrior,2800,2200
79582540,Ancient Warriors - Savage Don Ying,DARK,6,Beast-Warrior,2200,1800
2801664,Ancient Warriors - Valiant Zhang De,WIND,7,Beast-Warrior,2700,900
40428851,Ancient Warriors - Virtuous Liu Xuan,WIND,4,Beast-Warrior,1400,1200
15013468,Andro Sphinx,LIGHT,10,Beast,3000,2500
53266486,Anesthrokket Dragon,DARK,1,Dragon,0,2200
82243738,Angel O1,LIGHT,1,Fairy,200,300
56784842,Angel O7,LIGHT,7,Fairy,2500,1500
87979586,Angel Trumpeter,EARTH,4,Plant,1900,1600
3048768,Angello Vaalmonica,DARK,4,Fairy,1200,2100
65612386,Angmarl the Fiendish Monarch,DARK,6,Fiend,2400,1000
73979030,Angraecum Umbrella,WATER,3,Spellcaster,500,1500
28306253,Angry Burger,DARK,6,Warrior,2800,1850
98022050,Animadorned Archosaur,LIGHT,1,Dinosaur,0,0
595626,Ankuriboh,DARK,1,Fiend,300,200
29603180,Annihilator Archfiend,DARK,9,Fiend,2000,3000
47484352,Anotherverse Dragon,LIGHT,8,Dragon,2500,2000
86893702,Anotherverse Gluttonia,DARK,8,Fiend,2500,2000
63028558,Anotherverse Solaria,FIRE,8,Pyro,2500,2000
10949074,Anotherverse Stratios,EARTH,8,Warrior,2500,2000
48365709,Ansatsu,EARTH,5,Warrior,1700,1200
13250922,Anteatereatingant,EARTH,5,Insect,2000,500
89904598,Anthrosaurus,EARTH,3,Dinosaur,1000,850
65064143,Anti-Aircraft Flower,EARTH,3,Plant,0,1600
43583400,Antialian,EARTH,4,Cyberse,1900,600
58844135,Antihuman Intelligence ME-PSY-YA,LIGHT,8,Cyberse,2500,3000
60411677,Anubis the Last Judge,EARTH,10,Fiend,3000,0
41098335,Ape Fighter,DARK,4,Beast,1900,1200
31975743,Ape Magician,DARK,3,Beast,800,1200
41158734,Apocatequil,LIGHT,4,Thunder,1800,1200
40061558,Apoqliphort Skybase,EARTH,9,Machine,2900,2500
27279764,Apoqliphort Towers,EARTH,10,Machine,3000,2600
56132807,Apple Magician Girl,FIRE,3,Spellcaster,1200,800
5846183,Appliancer Breakerbuncle,WATER,1,Machine,0,0
41830887,Appliancer Copybokkle,DARK,1,Machine,0,0
78447174,Appliancer Socketroll,DARK,1,Machine,100,100
30603688,Apprentice Illusion Magician,DARK,6,Spellcaster,2000,1700
9156135,Apprentice Magician,DARK,2,Spellcaster,400,800
64977888,Apprentice Piper,DARK,2,Spellcaster,100,1500
96427353,Aqua Armor Ninja,WATER,4,Warrior,800,1600
85639257,Aqua Madoor,WATER,4,Spellcaster,1200,2000
12436646,Aqua Snake,WATER,3,Aqua,1050,900
40916023,Aqua Spirit,WATER,4,Aqua,1600,1200
92053608,Aquaactress Arowana,WATER,6,Aqua,2000,2000
66668900,Aquaactress Guppy,WATER,2,Aqua,600,600
39260991,Aquaactress Tetra,WATER,1,Aqua,300,300
22377815,Aquarian Alessa,WATER,4,Aqua,1500,500
75771170,Arahime the Manifested Mikanko,LIGHT,9,Fairy,0,0
16889337,Aratama,DARK,4,Fiend,800,1800
62892347,Arcana Force 0 - The Fool,LIGHT,1,Fairy,0,0
69831560,Arcana Force EX - The Dark Ruler,LIGHT,10,Fairy,4000,4000
5861892,Arcana Force EX - The Light Ruler,LIGHT,10,Fairy,4000,4000
8396952,Arcana Force I - The Magician,LIGHT,4,Fairy,1100,1100
35781051,Arcana Force III - The Empress,LIGHT,4,Fairy,1300,1300
61175706,Arcana Force IV - The Emperor,LIGHT,4,Fairy,1400,1400
3376703,Arcana Force V - The Hierophant,LIGHT,4,Fairy,1500,1500
97574404,Arcana Force VI - The Lovers,LIGHT,4,Fairy,1600,1600
34568403,Arcana Force VII - The Chariot,LIGHT,4,Fairy,1700,1700
60953118,Arcana Force XIV - Temperance,LIGHT,6,Fairy,2400,2400
39761418,Arcana Force XIX - The Sun,LIGHT,7,Fairy,2900,2900
59712426,Arcana Force XV - The Fiend,LIGHT,7,Fairy,2500,2500
97452817,Arcana Force XVIII - The Moon,LIGHT,7,Fairy,2800,2800
23846921,Arcana Force XXI - The World,LIGHT,8,Fairy,3100,3100
93880808,Arcana Triumph Joker,LIGHT,10,Warrior,-1,2500
40048324,Arcane Apprentice,FIRE,2,Spellcaster,1000,400
55001420,Arcane Archer of the Forest,EARTH,3,Warrior,900,1400
14553285,Arcanite Magician/Assault Mode,LIGHT,9,Spellcaster,900,2300
92039899,Archfiend Cavalry,DARK,4,Fiend,1900,0
68371799,Archfiend Commander,DARK,6,Fiend,2500,1200
57624336,Archfiend Eccentrick,LIGHT,3,Fiend,800,1000
28423537,"Archfiend Emperor, the First Lord of Horror",DARK,8,Fiend,3000,2000
31766317,Archfiend Empress,DARK,8,Fiend,2900,2100
48675364,Archfiend General,DARK,4,Fiend,2100,800
84341431,Archfiend Giant,DARK,6,Fiend,2400,1600
66540884,Archfiend Heiress,DARK,3,Fiend,1000,0
14430063,Archfiend Interceptor,DARK,4,Fiend,1400,1600
75889523,Archfiend Marmot of Nefariousness,EARTH,2,Beast,400,600
7622360,Archfiend Matador,DARK,6,Warrior,0,0
15150371,Archfiend Mirror,DARK,2,Fiend,700,600
50287060,Archfiend of Gilfer,DARK,6,Fiend,2200,2500
49881766,Archfiend Soldier,DARK,4,Fiend,1900,1500
53008933,Archfiend's Advent,DARK,6,Fiend,2500,1200
95825679,Archfiend's Awakening,DARK,6,Fiend,2500,1200
59509952,Archlord Kristya,LIGHT,8,Fairy,2800,2300
18378582,Archlord Zerato,LIGHT,8,Fairy,2800,2300
33212663,Archnemeses Eschatos,LIGHT,11,Dragon,3000,2500
6728559,Archnemeses Protos,DARK,11,Wyrm,2500,3000
38173725,Arcjet Lightcraft,LIGHT,9,Machine,0,2100
40725446,Arequus the Shining Mars Saint,LIGHT,5,Pyro,2000,1800
21050476,Argostars - Fierce Parthe,EARTH,4,Warrior,1400,1400
91438674,Argostars - Glorious Adra,EARTH,4,Warrior,1800,1800
40502912,Aria the Melodious Diva,LIGHT,4,Fairy,1600,1200
75730490,Ariane the Labrynth Servant,DARK,4,Fiend,1800,1100
1225009,Arianna the Labrynth Servant,DARK,4,Fiend,1600,2100
73602965,Arias the Labrynth Butler,DARK,6,Fiend,1500,2500
56827051,"Ariel, Priestess of the Nekroz",WATER,4,Psychic,1000,1800
29904964,Arisen Gaia the Fierce Knight,DARK,7,Warrior,2300,2100
33282498,Arkbrave Dragon,LIGHT,7,Dragon,2400,2000
14708569,Arlownay,EARTH,3,Plant,800,1000
36151751,Arma Knight,WATER,4,Aqua,1000,1200
28985331,Armageddon Knight,DARK,4,Warrior,1400,1200
53153481,Armaill,EARTH,3,Warrior,700,1300
59464593,Armed Dragon LV10,WIND,10,Dragon,3000,2000
84425220,Armed Dragon LV10 White,LIGHT,10,Dragon,3000,2000
980973,Armed Dragon LV3,WIND,3,Dragon,1200,900
46384672,Armed Dragon LV5,WIND,5,Dragon,2400,1700
73879377,Armed Dragon LV7,WIND,7,Dragon,2800,1000
58153103,Armed Dragon Thunder LV10,WIND,10,Dragon,3000,2000
57030525,Armed Dragon Thunder LV3,WIND,3,Dragon,1200,900
21546416,Armed Dragon Thunder LV5,WIND,5,Dragon,2400,1700
94141712,Armed Dragon Thunder LV7,WIND,7,Dragon,2800,1000
75220074,"Armed Dragon, the Armored Dragon",WIND,4,Dragon,1900,1400
9076207,Armed Ninja,EARTH,1,Warrior,300,300
29330706,Armed Protector Dragon,LIGHT,8,Dragon,2000,2800
84430950,Armed Samurai - Ben Kei,DARK,4,Warrior,500,800
20470500,Armed Sea Hunter,WATER,4,Sea Serpent,1800,400
87798440,Armor Breaker,EARTH,3,Warrior,800,800
7180418,Armor Exe,LIGHT,4,Rock,2400,1400
62742651,Armored Axon Kicker,EARTH,6,Psychic,2200,1800
86915847,Armored Bee,WIND,4,Insect,1600,1200
29374928,Armored Bitron,DARK,2,Cyberse,500,0
67159705,Armored Cybern,WIND,4,Machine,0,2000
15480588,Armored Lizard,EARTH,4,Reptile,1500,1200
16246527,Armored Rat,EARTH,3,Beast,950,1100
27480536,Armored Shark,WATER,3,Fish,500,2000
17535588,Armored Starfish,WATER,4,Aqua,850,1400
17170970,Armored White Bear,WATER,4,Beast,1800,1400
20277860,Armored Zombie,DARK,3,Zombie,1500,0
73333463,Armoroid,EARTH,8,Machine,2700,2000
29687169,"Arnis, the Empowered Warrior",FIRE,4,Warrior,1700,1200
21452275,Aroma Jar,WIND,1,Rock,500,400
85967160,Aromage Bergamot,FIRE,6,Plant,2400,1800
22174866,Aromage Cananga,EARTH,3,Plant,1400,1000
96789758,Aromage Jasmine,LIGHT,2,Plant,100,1900
14169843,Aromage Laurel,WIND,1,Plant,800,0
40663548,Aromage Marjoram,DARK,5,Plant,2000,1600
58569561,Aromage Rosemary,WATER,4,Plant,1800,700
24689197,Aromalilith Rosalina,DARK,1,Plant,0,0
16759958,Aromaseraphy Angelica,LIGHT,1,Plant,0,0
34172284,"Aron, the Ogdoadic King",LIGHT,8,Reptile,2500,2800
42364374,Arsenal Bug,EARTH,3,Insect,2000,2000
85489096,Arsenal Summoner,WIND,4,Spellcaster,1600,1600
11475049,Artifact Achilleshield,LIGHT,5,Fairy,1500,2200
85080444,Artifact Aegis,LIGHT,5,Fairy,1200,2500
12697630,Artifact Beagalltach,LIGHT,5,Fairy,1400,2100
84268896,Artifact Caduceus,LIGHT,5,Fairy,1600,2400
8873112,Artifact Chakram,LIGHT,5,Fairy,1900,2000
48086335,Artifact Failnaught,LIGHT,5,Fairy,2000,1600
47863787,Artifact Labrys,LIGHT,5,Fairy,2300,1000
34267821,Artifact Lancea,LIGHT,5,Fairy,1700,2300
80237445,Artifact Mjollnir,LIGHT,5,Fairy,1300,1800
85103922,Artifact Moralltach,LIGHT,5,Fairy,2100,1400
20292186,Artifact Scythe,LIGHT,5,Fairy,2200,900
69304426,Artifact Vajra,LIGHT,5,Fairy,1800,1900
7913375,Artillery Catapult Turtle,WATER,4,Aqua,1000,2000
34541940,Artmage Finmel,LIGHT,7,Warrior,2400,1500
60946049,Artmage Graflare,LIGHT,5,Dragon,2100,1500
97434754,Artmage Litera,LIGHT,3,Spellcaster,400,1800
23829452,Artmage Power Patron,EARTH,1,Illusion,300,200
71821687,"Ascator, Dawnwalker",EARTH,5,Spellcaster,2300,1500
14558127,Ash Blossom & Joyous Spring,FIRE,3,Zombie,0,1800
58996839,Ashoka Pillar,EARTH,3,Rock,0,2200
12888461,Aspischool,WATER,4,Fish,300,300
3431737,Assault Beast,EARTH,4,Beast-Warrior,1900,1200
70456282,Assault Blackwing - Kunai the Drizzle,DARK,5,Winged Beast,2100,1600
72714226,Assault Dog,EARTH,4,Beast,1200,800
86098176,Assault Lich,DARK,4,Zombie,1500,0
77036039,Assault Mercenary,EARTH,4,Warrior,1800,300
39015,Assault Sentinel,EARTH,4,Beast-Warrior,1600,800
101304005,Assault Sonic Warrior,WIND,2,Warrior,1000,0
77202120,Assault Synchron,DARK,2,Machine,700,0
29311166,Assault Wyvern,LIGHT,4,Dragon,1800,1100
98520301,Asset Mountis,LIGHT,7,Insect,2300,2000
25592142,Astellar of the White Forest,LIGHT,2,Spellcaster,0,0
69170403,Astra Ghouls,EARTH,5,Zombie,0,2000
64591429,Astral Kuriboh,LIGHT,1,Fiend,100,100
69852487,Astraltopia,LIGHT,4,Warrior,0,0
76794549,Astrograph Sorcerer,DARK,7,Spellcaster,2500,2000
2134346,Asura Priest,LIGHT,4,Fairy,1700,1200
88236094,Aswan Apparition,DARK,3,Fiend,500,500
48964966,Athena,LIGHT,7,Fairy,2600,800
